trial_count,FBDuration,actualFBOnsetTime,c_dis,context,response,rt,state,stim,trial_count,ts,rep_resp,switch,con_shape,con_orient,subj_switch,correct
137,0.5,0.500586986541748,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,0,0.4594838619232178,1,"(0, 2)",137,1,False,False,True,False,True,False
138,0.5,0.5011119842529297,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,0,0.4165959358215332,1,"(0, 3)",138,1,True,False,True,False,False,False
139,0.5,0.5002541542053223,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,0,0.4321410655975342,1,"(0, 3)",139,1,True,False,True,False,False,False
140,0.5,0.5010640621185303,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,0,0.3434469699859619,1,"(0, 3)",140,1,True,False,True,False,False,False
141,0.5,0.5008270740509033,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,1,0.2662777900695801,1,"(1, 3)",141,1,False,False,True,False,False,False
142,0.5,0.5011069774627686,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,0,0.3983170986175537,1,"(0, 2)",142,1,False,False,True,False,False,False
143,0.5,0.5012111663818359,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,0,0.34041810035705566,1,"(0, 2)",143,1,True,False,True,False,False,False
144,0.5,0.5011160373687744,"{'mean': 0.29999999999999999, 'sd': 0.37}",1.0,0,0.3316671848297119,1,"(0, 2)",144,1,True,False,True,False,False,False
145,0.5,0.501147985458374,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,0,0.38126206398010254,1,"(1, 2)",145,1,True,False,False,False,True,False
147,0.5,0.5011248588562012,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,0,0.39092302322387695,1,"(0, 2)",147,1,True,False,True,False,True,False
148,0.5,0.5010819435119629,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,1,0.4164719581604004,1,"(0, 3)",148,1,False,False,False,False,True,False
149,0.5,0.501154899597168,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,0,0.36078906059265137,1,"(0, 2)",149,1,False,False,True,False,True,False
