trial_count,FB,c_dis,context,response,rt,state,stim,trial_count,ts,rep_resp,switch,con_shape,con_orient,correct
162,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.30000000000000004,1,0.5,1,"(1, 2)",162,0,False,False,True,False,True
163,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,2,0.5,1,"(1, 2)",163,1,False,True,False,True,True
164,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,3,0.5,1,"(1, 3)",164,1,False,False,False,True,True
165,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,3,0.5,1,"(0, 3)",165,1,True,False,False,True,True
166,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,2,0.5,1,"(1, 2)",166,1,False,False,False,True,True
167,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,3,0.5,1,"(1, 3)",167,1,False,False,False,True,True
168,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,2,0.5,1,"(0, 2)",168,1,False,False,False,True,True
169,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,2,0.5,1,"(0, 2)",169,1,True,False,False,True,True
170,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,3,0.5,1,"(1, 3)",170,1,False,False,False,True,True
171,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,1,0.5,1,"(1, 3)",171,0,False,True,True,False,True
172,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,1,0.5,1,"(1, 3)",172,0,True,False,True,False,True
173,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.7000000000000001,0,0.5,1,"(0, 3)",173,0,False,False,True,False,True
174,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,1,0.5,1,"(1, 2)",174,0,False,False,True,False,True
175,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,0,0.5,1,"(0, 3)",175,0,False,False,True,False,True
176,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.10000000000000009,0,0.5,1,"(0, 2)",176,0,True,False,True,False,True
177,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.7000000000000001,1,0.5,1,"(1, 3)",177,0,False,False,True,False,True
178,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,0,0.5,1,"(0, 3)",178,0,False,False,True,False,True
179,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,0,0.5,1,"(0, 2)",179,0,True,False,True,False,True
180,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-1.0,0,0.5,1,"(0, 2)",180,0,True,False,True,False,True
181,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,0,0.5,1,"(0, 2)",181,1,True,True,True,False,False
182,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,2,0.5,1,"(0, 2)",182,1,False,False,False,True,True
183,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,2,0.5,1,"(1, 2)",183,1,True,False,False,True,True
184,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,0,0.5,1,"(0, 3)",184,1,False,False,True,False,False
